ons_id,constituency_name,region_name,country_name,constituency_type,time_recorded,result,party_abbreviation,party_name,title,firstname,surname,middlenames,mnis_id,gender,candidate_type,old_constituency
E14001313,Kingston upon Hull East,Yorkshire and The Humber,England,Borough,7/5/24 4:16,Lab hold,Lab,Labour,,Karl,Turner,,4030,Male,Re-elected Member,Kingston upon Hull East
E14001314,Kingston upon Hull North and Cottingham,Yorkshire and The Humber,England,Borough,7/5/24 6:15,Lab hold,Lab,Labour,Dame,Diana,Johnson,Ruth,1533,Female,Re-elected Member,Kingston upon Hull North
E14001315,Kingston upon Hull West and Haltemprice,Yorkshire and The Humber,England,Borough,7/5/24 6:17,Lab gain from Con,Lab,Labour,,Emma,Hardy,Ann,4645,Female,Re-elected Member,Kingston upon Hull West and Hessle
E14001316,Kingswinford and South Staffordshire,West Midlands,England,County,7/5/24 6:11,Con hold,Con,Conservative,,Mike,Wood,Jon,4384,Male,Re-elected Member,Dudley South
E14001317,Knowsley,North West,England,Borough,7/5/24 2:06,Lab hold,Lab,Labour,,Anneliese,Midgley,,,Female,New member,
N05000009,Lagan Valley,Northern Ireland,Northern Ireland,County,7/5/24 4:01,Alliance gain from DUP,Alliance,Alliance,,Sorcha-Lucy,Eastwood,,,Female,New member,
E14001318,Lancaster and Wyre,North West,England,County,7/5/24 5:00,Lab gain from Con,Lab,Labour,,Cat,Smith,Jane,4436,Female,Re-elected Member,Lancaster and Fleetwood
E14001319,Leeds Central and Headingley,Yorkshire and The Humber,England,Borough,7/5/24 6:19,Lab hold,Lab,Labour and Co-operative,,Alex,Sobel,,4658,Male,Re-elected Member,Leeds North West
E14001320,Leeds East,Yorkshire and The Humber,England,County,7/5/24 6:28,Lab hold,Lab,Labour,,Richard,Burgon,,4493,Male,Re-elected Member,Leeds East
E14001321,Leeds North East,Yorkshire and The Humber,England,Borough,7/5/24 5:50,Lab hold,Lab,Labour,,Fabian,Hamilton,,415,Male,Re-elected Member,Leeds North East
E14001322,Leeds North West,Yorkshire and The Humber,England,County,7/5/24 5:56,Lab gain from Con,Lab,Labour,,Katie,White,Jayne,,Female,New member,
E14001323,Leeds South,Yorkshire and The Humber,England,Borough,7/5/24 6:31,Lab hold,Lab,Labour,,Hilary,Benn,James,413,Male,Re-elected Member,Leeds Central
E14001324,Leeds South West and Morley,Yorkshire and The Humber,England,Borough,7/5/24 6:33,Lab gain from Con,Lab,Labour,Mr,Mark,Sewards,,,Male,New member,
E14001325,Leeds West and Pudsey,Yorkshire and The Humber,England,Borough,7/5/24 2:32,Lab hold,Lab,Labour,,Rachel,Reeves,,4031,Female,Re-elected Member,Leeds West
E14001326,Leicester East,East Midlands,England,Borough,7/5/24 3:33,Con gain from Lab,Con,Conservative,,Shivani,Raja,,,Female,New member,
E14001327,Leicester South,East Midlands,England,Borough,7/5/24 3:46,Ind gain from Lab,Ind,Independent,,Shockat,Adam,,,Male,New member,
E14001328,Leicester West,East Midlands,England,Borough,7/5/24 3:06,Lab hold,Lab,Labour,,Liz,Kendall,,4026,Female,Re-elected Member,Leicester West
E14001329,Leigh and Atherton,North West,England,Borough,7/5/24 2:29,Lab gain from Con,Lab,Labour and Co-operative,,Jo,Platt,Marie,4673,Female,Historical member,
E14001330,Lewes,South East,England,County,7/5/24 6:01,LD gain from Con,LD,Liberal Democrat,,James,MacCleary,Neville,,Male,New member,
